Handle;REF;Nombre;Categoria;Descripcion;Proveedor;Costo de compra;Unida de Compra;Unidades por unidad de compra;Presentacion Unidad de compra;Existencias bajas [Restaurante La Antigua Lecheria];Stock óptimo [Restaurante La Antigua Lecheria]
crema-lavaplatos-1kg;10262;Crema Lavaplatos 1kg;ZAbarrotesInv;;Joyca;768;;;;2.000;6.000
cucharita-plastica-peq-inv;10372;Cucharita Plastica Peq Inv;ZAbarrotesInv;;Joyca;;;;;;
desengrasante-galon;10261;Desengrasante Galon;ZAbarrotesInv;;Joyca;1700;;;;1.000;2.000
desifectante-limon-gl;10263;Desifectante Limon Gl;ZAbarrotesInv;;Joyca;785;;;;1.000;2.000
dulce-en-polvo-kilo-inv;10294;Dulce en Polvo Kilo Inv;ZAbarrotesInv;;Joyca;931;;;;2.000;4.000
esponja-alumine-verde-dp;10266;Esponja Alumine Verde DP;ZAbarrotesInv;;Joyca;231;;;;2.000;4.000
plastico-adhesivo-rollo;10247;"Plastico Adhesivo Rollo 12"" inv";ZAbarrotesInv;;Joyca;0;caja;100;metros;0.500;1.000
removedor-de-madera-mediano-inv;10296;Removedor de Madera Mediano Inv;ZAbarrotesInv;;Joyca;0;caja;1000;unidades;0.500;2.000
salsa-de-tomate-sobre;10298;Salsa de Tomate Sobre;ZAbarrotesInv;;Joyca;90;caja;250;sobres;;
gorro-maya;10267;Gorro Maya 100 und;ZAbarrotesInv;;Joyca;4060;;;;6.000;1.000
guante-nitrilo-talla-l;10268;Guante Nitrilo Talla L Caja;ZAbarrotesInv;;Joyca;3416;;;;0.500;1.000
guante-nitrilo-talla-m;10269;Guante Nitrilo Talla M Caja;ZAbarrotesInv;;Joyca;3416;;;;0.500;1.000
harina-nacarina-bolsa-2.5kg;10257;Harina Nacarina Bolsa 2.5kg;ZAbarrotesInv;;Joyca;2690;;;;2.500;4.000
helado-cubeta;10287;Helado Cubeta;ZAbarrotesInv;;Joyca;9963;;;;5.000;15.000
horchata-desinit;10272;Horchata Desinit (1paq = 15 porciones);ZAbarrotesInv;;Joyca;3161;;;;2.000;4.000
huevo;10305;Huevo Inv;ZAbarrotesInv;;Joyca;110;;;;15.000;60.000
jabon-en-polvo-kilo-inv;10373;Jabon en Polvo kilo Inv;ZAbarrotesInv;;Joyca;;;;;;
jamon/mortadela;10150;Jamon 450grs (Ham Toro);ZAbarrotesInv;<p>Jamon para hamburguesa toro</p>;Joyca;3400;;;;20.000;1.000
jugo-de-naranja-dos-pinos-2.2lt;10258;Jugo de Naranja Dos Pinos 2.2lt;ZAbarrotesInv;;Joyca;1650;;;;1.000;2.000
leche-condensada;10307;Leche Condensada;ZAbarrotesInv;;Joyca;1300;;;;1.000;2.000
leche-de-coco-lata;10239;Leche de Coco Lata inv;ZAbarrotesInv;;Joyca;1975;;;;1.000;2.000
leche-dos-pinos-galon;10308;Leche Dos Pinos Galon;ZAbarrotesInv;;Pali;2770;;;;;
leche-foodie-semidesc-1-lt;10259;Leche Foodie Semidesc 1 lt;ZAbarrotesInv;;Joyca;825;;;;5.000;12.000
mant-numar-barras;10236;Marg Numar Barras inv;ZAbarrotesInv;;Joyca;986;;;;2.000;1.000
masa-p/tortilla-kg;10234;Masa Maseca 2,5 Kg inv;ZAbarrotesInv;;Joyca;7536;;;;3.000;5.000
matcha-kilo-inv;10290;Matcha Kilo Inv;ZAbarrotesInv;;;;;;;0.300;1.000
maxi-toalla-240m-belen;10146;Maxi Toalla 240m Belen;ZAbarrotesInv;;Joyca;2750;;;;2.000;6.000
mayonesa-en-sobre-inv;10371;Mayonesa en Sobre Inv;ZAbarrotesInv;;Joyca;;;;;;
natilla-foodie-galon;10270;Natilla Tarro Inv;ZAbarrotesInv;;Joyca;7646;;;;0.500;1.000
pan-hamburguesa-adulto;10129;Pan Hamburguesa Adulto Inv;ZAbarrotesInv;<p>Pan Bimbo Grande para hamburguesa (paquete de 12 und</p>;Interno;350;;;;8.000;12.000
pan-hamburguesa-pequeña;10131;Pan Hamburguesa Pequeña Inv;ZAbarrotesInv;;Interno;260;;;;12.000;12.000
papa-frita-inv;10157;Papa Frita (Bolsa 2.5) p/150grs Inv;ZAbarrotesInv;;Joyca;180;;;;66.000;132.000
papas-en-gajo;10153;Papas en Gajo Condi 125gr Inv;ZAbarrotesInv;;Joyca;1625;;;;5.000;10.000
torta-adulto-fiesta-150gr;10367;Torta Adulto Fiesta 150gr;ZCarnesInv;;;350;kilo;1000;gramos;;
papel-higienico-rollo-ind;10310;Papel Higienico Rollo Ind;ZAbarrotesInv;;Interno;830;;;;2.000;4.000
azucar-doña-maria-2kg;10235;Azucar Do�a Maria 5kg inv;ZAbarrotesInv;;Joyca;1200;kilo;1000;gramos;4.000;6.000
pasta-de-tomate-pan;10249;Pasta de Tomate Bolsa kg Inv;ZAbarrotesInv;;Interno;6020;;;;0.500;1.000
canela-en-polvo;10237;Canela en Polvo inv;ZAbarrotesInv;;Joyca;2500;kilo;1000;gramos;0.500;
condimento-chicharron;10188;Condimento Chicharron kilo inv;ZAbarrotesInv;;;2500;kilo;1000;gramos;.5;
consome-de-res;10186;Consome de Res Kilo inv;ZAbarrotesInv;;Joyca;2500;kilo;1000;gramos;.5;
queso-mozarella;10386;Queso Mozarella;ZAbarrotesInv;;Joyca;;;;;1.000;2.500
fresa-kilo-inv;10289;Fresa kilo Inv;ZAbarrotesInv;;;2000;kilo;1000;gramos;2.000;5.000
sal-paq-500gr;10185;Sal Paq 500gr inv;ZAbarrotesInv;;Joyca;168;;;;2.000;6.000
salsa-bbq;10241;Salsa BBQ Heinz Galon inv;ZAbarrotesInv;;Joyca;5891;;;;0.500;1.000
salsa-china-galon;10243;Salsa China Banquete Galon inv;ZAbarrotesInv;;Interno;5370;;;;0.500;1.000
salsa-de-tomate-galon;10244;Salsa de Tomate Banquete Galon inv;ZAbarrotesInv;;Joyca;5557;;;;0.500;1.000
frijol-negro-2kg;10230;Frijol Negro Kg Inv;ZAbarrotesInv;;Interno;2000;kilo;1000;gramos;6.000;10.000
salsa-lizano-galon;10242;Salsa Lizano Galon inv;ZAbarrotesInv;;Joyca;9200;;;;0.500;1.000
salsa-mostaza-1galon;10245;Salsa Mostaza Banquete Galon inv;ZAbarrotesInv;;Joyca;9275;;;;0.500;1.000
queso-cheddar-liq;10147;Salsa Queso Cheddar Lt Inv;ZAbarrotesInv;;Joyca;4111;;;;1.000;2.000
