order_id,method_code,paid_at,status,amount,external_receipt_no
11031,CARD,2026-01-28 20:35:00,PAID,-1500.00,3-11426
11030,CARD,2026-01-28 20:19:00,PAID,36500.00,1037
11029,CARD,2026-01-28 20:15:00,PAID,11400.00,1036
11028,CARD,2026-01-28 19:53:00,PAID,-3300.00,3-11425
11027,CARD,2026-01-28 19:48:00,PAID,28100.00,1035
11026,CARD,2026-01-28 19:22:00,PAID,29500.00,1034
11025,CARD,2026-01-28 18:29:00,PAID,4500.00,1033
11024,CARD,,VOID,1300.00,1032
11023,CASH,,VOID,1600.00,1031
11022,CARD,,VOID,1400.00,1030
11021,CASH,,VOID,1300.00,1029
11020,CASH,,VOID,1300.00,1028
11019,CASH,,VOID,2000.00,1027
11018,CASH,,VOID,2000.00,1026
11017,CASH,,VOID,2000.00,1025
11016,CASH,,VOID,2000.00,1024
11015,CARD,2026-01-25 23:25:00,PAID,28200.00,3-11424
11014,CARD,2026-01-25 23:25:00,PAID,55700.00,3-11423
11013,CARD,2026-01-25 23:25:00,PAID,26200.00,3-11422
11012,CARD,2026-01-25 23:24:00,PAID,22000.00,3-11421
11011,CARD,2026-01-25 23:24:00,PAID,36900.00,3-11420
11010,CARD,2026-01-25 23:24:00,PAID,26400.00,3-11419
11009,CARD,2026-01-25 23:24:00,PAID,18300.00,3-11418
11008,CARD,2026-01-25 23:24:00,PAID,1400.00,3-11417
11007,CARD,2026-01-25 23:24:00,PAID,16100.00,3-11416
11006,CARD,2026-01-25 23:12:00,PAID,8500.00,3-11415
11005,CARD,2026-01-25 23:10:00,PAID,17000.00,3-11414
11004,CARD,2026-01-25 23:09:00,PAID,8000.00,3-11413
11003,CARD,2026-01-25 23:06:00,PAID,8200.00,3-11412
11002,CARD,2026-01-25 22:50:00,PAID,69300.00,3-11411
11001,CARD,2026-01-25 22:47:00,PAID,13000.00,3-11410
11000,CARD,2026-01-25 22:28:00,PAID,14550.00,3-11409
10999,CARD,2026-01-25 21:43:00,PAID,1550.00,3-11408
10998,CARD,2026-01-25 21:37:00,PAID,24400.00,3-11407
10997,CARD,2026-01-25 21:36:00,PAID,6500.00,3-11406
10996,CARD,2026-01-25 21:35:00,PAID,38900.00,3-11405
10995,CARD,2026-01-25 21:16:00,PAID,19900.00,27-0016
10994,CARD,2026-01-25 21:08:00,PAID,18100.00,3-11404
10993,CARD,2026-01-25 21:08:00,PAID,6700.00,3-11403
10992,CARD,2026-01-25 21:05:00,PAID,18900.00,27-0015
10991,CARD,2026-01-25 21:03:00,PAID,21700.00,27-0014
10990,CASH,2026-01-25 20:58:00,PAID,35300.00,27-0013
10989,CASH,2026-01-25 20:54:00,PAID,6000.00,3-11402
10988,CARD,2026-01-25 20:53:00,PAID,13800.00,3-11401
10987,CARD,2026-01-25 20:43:00,PAID,24500.00,27-0012
10986,CARD,2026-01-25 20:36:00,PAID,14500.00,27-0011
10985,CARD,2026-01-25 20:33:00,PAID,18600.00,27-0010
10984,CARD,2026-01-25 20:30:00,PAID,36750.00,27-0009
10983,CARD,2026-01-25 20:17:00,PAID,19000.00,3-11400
10982,CARD,2026-01-25 20:10:00,PAID,18300.00,27-0008
10981,CARD,2026-01-25 20:06:00,PAID,28600.00,27-0007
10980,CARD,2026-01-25 19:56:00,PAID,52800.00,3-11399
10979,CARD,2026-01-25 19:45:00,PAID,3000.00,3-11398
10978,CARD,2026-01-25 19:41:00,PAID,8400.00,3-11397
10977,CARD,2026-01-25 19:35:00,PAID,21750.00,3-11396
10976,CARD,2026-01-25 19:23:00,PAID,16100.00,27-0006
10975,CARD,2026-01-25 19:19:00,PAID,19200.00,3-11395
10974,CARD,2026-01-25 18:11:00,PAID,2000.00,3-11394
10973,CARD,2026-01-25 18:09:00,PAID,16300.00,3-11393
10972,CASH,2026-01-25 18:07:00,PAID,2000.00,3-11392
10971,CARD,2026-01-25 17:49:00,PAID,14200.00,3-11391
10970,CARD,2026-01-25 17:48:00,PAID,14200.00,3-11390
10969,CASH,2026-01-25 17:41:00,PAID,2000.00,3-11389
10968,CASH,2026-01-25 17:40:00,PAID,20000.00,3-11388
10967,CARD,2026-01-25 17:26:00,PAID,8800.00,3-11387
10966,CARD,2026-01-25 17:20:00,PAID,2000.00,3-11386
10965,CARD,2026-01-25 17:09:00,PAID,24100.00,3-11385
10964,CARD,2026-01-24 22:56:00,PAID,21290.00,3-11384
10963,CARD,2026-01-24 22:49:00,PAID,24200.00,3-11383
10962,CARD,2026-01-24 22:24:00,PAID,19800.00,3-11382
10961,CARD,2026-01-24 21:29:00,PAID,31050.00,3-11381
10960,SINPE,2026-01-24 21:10:00,PAID,70900.00,3-11380
10959,CARD,2026-01-24 20:39:00,PAID,17500.00,3-11379
10958,CARD,2026-01-24 20:23:00,PAID,3800.00,3-11378
10957,CASH,2026-01-24 19:46:00,PAID,9250.00,3-11377
10956,SINPE,2026-01-24 19:02:00,PAID,35590.00,3-11376
10955,CARD,2026-01-24 17:58:00,PAID,9000.00,3-11375
10954,SINPE,2026-01-24 17:04:00,PAID,9100.00,3-11374
10953,CASH,2026-01-24 16:59:00,PAID,16550.00,42-0001
10952,CARD,2026-01-23 22:06:00,PAID,9170.00,3-11373
10951,CARD,2026-01-23 21:54:00,PAID,35490.00,3-11372
10950,CARD,2026-01-23 20:00:00,PAID,12800.00,3-11371
10949,CARD,2026-01-22 21:18:00,PAID,13000.00,3-11370
10948,CARD,2026-01-22 19:36:00,PAID,27700.00,3-11369
10947,CARD,2026-01-22 19:10:00,PAID,15400.00,3-11368
10946,CARD,2026-01-21 22:53:00,PAID,1750.00,3-11367
10945,CARD,2026-01-21 22:07:00,PAID,13450.00,3-11366
10944,CARD,2026-01-21 18:20:00,PAID,37100.00,3-11365
10943,CARD,2026-01-21 18:16:00,PAID,10900.00,3-11364
10942,CARD,2026-01-18 23:05:00,PAID,2200.00,3-11363
10941,SINPE,2026-01-18 22:57:00,PAID,13400.00,3-11362
10940,CARD,2026-01-18 22:44:00,PAID,37300.00,3-11361
10939,CARD,2026-01-18 22:41:00,PAID,10850.00,3-11360
10938,CARD,2026-01-18 22:37:00,PAID,3500.00,3-11359
10937,CASH,2026-01-18 22:34:00,PAID,3150.00,3-11358
10936,CARD,2026-01-18 22:25:00,PAID,9050.00,3-11357
10935,CARD,2026-01-18 22:25:00,PAID,1400.00,3-11356
10934,CARD,2026-01-18 22:24:00,PAID,4100.00,3-11355
10933,CARD,2026-01-18 22:11:00,PAID,16400.00,3-11354
10932,CASH,2026-01-18 22:08:00,PAID,27950.00,3-11353
10931,CARD,2026-01-18 22:05:00,PAID,17800.00,3-11352
10930,CARD,2026-01-18 22:04:00,PAID,36000.00,3-11351
10929,CARD,2026-01-18 22:03:00,PAID,25700.00,3-11350
10928,CARD,2026-01-18 21:58:00,PAID,45080.00,3-11349
10927,CASH,2026-01-18 21:53:00,PAID,19300.00,3-11348
10926,CASH,2026-01-18 21:50:00,PAID,14800.00,3-11347
10925,CARD,2026-01-18 21:45:00,PAID,26800.00,3-11346
10924,CARD,2026-01-18 21:24:00,PAID,50150.00,3-11345
10923,CARD,2026-01-18 21:23:00,PAID,13000.00,3-11344
10922,CARD,2026-01-18 21:22:00,PAID,9400.00,3-11343
10921,CARD,2026-01-18 21:17:00,PAID,17200.00,3-11342
10920,CARD,2026-01-18 21:17:00,PAID,11900.00,3-11341
10919,CARD,2026-01-18 21:15:00,PAID,48250.00,3-11340
10918,CARD,2026-01-18 21:12:00,PAID,-2250.00,26-1068
10917,CARD,2026-01-18 21:08:00,PAID,56600.00,3-11339
10916,CARD,2026-01-18 21:06:00,PAID,19100.00,3-11338
10915,CARD,2026-01-18 21:04:00,PAID,11600.00,3-11337
10914,CARD,2026-01-18 20:49:00,PAID,31800.00,3-11336
10913,CARD,2026-01-18 20:45:00,PAID,20800.00,3-11335
10912,CARD,2026-01-18 20:43:00,PAID,10100.00,3-11334
10911,CARD,2026-01-18 20:39:00,PAID,28900.00,3-11333
10910,CARD,2026-01-18 20:38:00,PAID,20700.00,3-11332
10909,CARD,2026-01-18 20:35:00,PAID,17050.00,3-11331
10908,CARD,2026-01-18 20:34:00,PAID,8025.00,3-11330
10907,CARD,2026-01-18 20:25:00,PAID,40650.00,3-11329
10906,CARD,2026-01-18 20:15:00,PAID,7300.00,3-11328
10905,CARD,2026-01-18 20:14:00,PAID,7000.00,3-11327
10904,CARD,2026-01-18 20:14:00,PAID,18550.00,3-11326
10903,CARD,2026-01-18 20:05:00,PAID,29800.00,3-11325
10902,CARD,2026-01-18 20:05:00,PAID,9300.00,3-11324
10901,CARD,2026-01-18 20:05:00,PAID,23400.00,3-11323
10900,CARD,2026-01-18 20:02:00,PAID,13800.00,3-11322
10899,CARD,2026-01-18 19:59:00,PAID,28025.00,3-11321
10898,CARD,2026-01-18 19:57:00,PAID,19600.00,3-11320
10897,CASH,2026-01-18 19:51:00,PAID,1000.00,3-11319
10896,CARD,2026-01-18 19:50:00,PAID,34300.00,3-11318
10895,CARD,2026-01-18 19:45:00,PAID,17100.00,3-11317
10894,CARD,2026-01-18 19:36:00,PAID,16000.00,3-11316
10893,CARD,2026-01-18 19:35:00,PAID,9550.00,3-11315
10892,CARD,2026-01-18 19:35:00,PAID,12125.00,3-11314
10891,CARD,2026-01-18 19:32:00,PAID,24200.00,3-11313
10890,CARD,2026-01-18 19:31:00,PAID,52500.00,3-11312
10889,CARD,2026-01-18 19:30:00,PAID,13300.00,3-11311
10888,CARD,2026-01-18 19:16:00,PAID,42200.00,3-11310
10887,CARD,2026-01-18 19:01:00,PAID,14000.00,3-11309
10886,CARD,2026-01-18 18:50:00,PAID,27100.00,3-11308
10885,CARD,2026-01-18 18:25:00,PAID,5500.00,3-11307
10884,CARD,2026-01-18 18:25:00,PAID,12550.00,3-11306
10883,CARD,2026-01-18 18:23:00,PAID,14200.00,3-11305
10882,CARD,2026-01-18 18:09:00,PAID,4500.00,3-11304
10881,CARD,2026-01-18 17:57:00,PAID,27900.00,3-11303
10880,CARD,2026-01-18 17:55:00,PAID,3000.00,3-11302
10879,CARD,2026-01-18 17:50:00,PAID,8600.00,3-11301
10878,CARD,2026-01-18 17:36:00,PAID,10125.00,3-11300
10877,CARD,2026-01-17 23:02:00,PAID,16600.00,3-11299
10876,CARD,2026-01-17 21:58:00,PAID,10300.00,3-11298
